[lark-cli] [WARN] proxy detected: HTTPS_PROXY=http://127.0.0.1:7890 — requests (including credentials) will transit through this proxy. Set LARK_CLI_NO_PROXY=1 to disable proxy.
`_record_id` is metadata for record operations, not a table field.

| _record_id | 新闻标题 | 关联装置 | 相关单位 | 新闻摘要 | 新闻链接 | 发布时间 | 相关人员 | 新闻类型 | 关联融资 | 新闻价值 | 提醒关注人 |
| recvk9U8egKW4r | CFS与Google签署200MW聚变电力采购协议 | [] | [{"id":"recvk9ZmAn8uc6"}] | CFS宣布与Google签署200MW购电协议，Google同时参与CFS融资，成为首批公开锚定聚变电力采购的大型科技客户。 | [https://blog.cfs.energy/powering-the-future-of-ai-with-fusion-energy/](https://blog.cfs.energy/powering-the-future-of-ai-with-fusion-energy/) | 2025-06-30 00:00:00 |  | ["商业订单"] |  | ["数据中心用电需求正在成为聚变商业化的重要需求侧驱动。"] |  |
| recvk9U8egKXJw | Helion完成4.25亿美元F轮融资以推进Polaris商业化 | [] | [{"id":"recvk9ZmAnsyR8"}] | Helion宣布完成4.25亿美元Series F融资，并披露Polaris装置进入运行阶段，用于推进发电示范。 | [https://www.helionenergy.com/newsroom/helion-announces-425m-series-f-investment-to-scale-commercialized-fusion-power](https://www.helionenergy.com/newsroom/helion-announces-425m-series-f-investment-to-scale-commercialized-fusion-power) | 2025-01-28 00:00:00 | [] | ["融资/装置"] |  | ["Helion以直接发电路线和微软购电协议形成差异化商业路径。"] |  |
| recvk9U8egrOSd | Helion在华盛顿州推进Orion聚变电站地方许可 | [] | [{"id":"recvk9ZmAnsyR8"}] | Helion的Orion项目取得地方层面条件性使用许可相关进展，项目规划与微软购电协议绑定。 | [https://www.helionenergy.com/newsroom/helion-receives-approvals-for-next-phase-of-construction-of-worlds-first-commercial-fusion-power-plant](https://www.helionenergy.com/newsroom/helion-receives-approvals-for-next-phase-of-construction-of-worlds-first-commercial-fusion-power-plant) | 2025-10-15 00:00:00 |  | ["许可/商业电站"] |  | ["聚变公司开始进入具体选址、土地和地方许可执行环节。"] |  |
| recvk9U8eghBAR | Helion宣布HERCULES高校合作计划，总投入超过1700万美元 | [] | [{"id":"recvk9ZmAnsyR8"}] | Helion发起HERCULES研究合作计划，面向材料、等离子体、诊断、工程和人才培养布局外部生态。 | [https://www.helionenergy.com/newsroom](https://www.helionenergy.com/newsroom) | 2026-04-07 00:00:00 |  | ["研发合作"] |  | ["商业公司以高校网络补齐关键技术和人才供给，值得跟踪合作单位。"] |  |
| recvk9U8egxzyh | Zap Energy完成1.3亿美元D轮融资并启动Century工程测试平台 | [] | [{"id":"recvk9ZmAni7VX"}] | Zap Energy完成1.3亿美元D轮融资，同时宣布Century工程测试平台开始运行，用于验证重复脉冲和工厂级系统。 | [https://www.zapenergy.com/news/zap-attracts-130m-as-demo-system-begins-operations](https://www.zapenergy.com/news/zap-attracts-130m-as-demo-system-begins-operations) | 2024-10-09 00:00:00 | [] | ["融资/装置"] |  | ["Z-pinch无磁体路线的工程化里程碑，投资方继续加码。"] |  |
| recvk9U8eg2sSh | Zap Energy调整CEO并强化一体化核工程战略 | [] | [{"id":"recvk9ZmAni7VX"}] | Zap Energy任命Zabrina Johal为CEO，并强调从等离子体性能向核工程、燃料循环和电站集成推进。 | [https://www.prnewswire.com/news-releases/zap-energy-advances-integrated-nuclear-strategy-and-appoints-zabrina-johal-as-ceo-302757297.html](https://www.prnewswire.com/news-releases/zap-energy-advances-integrated-nuclear-strategy-and-appoints-zabrina-johal-as-ceo-302757297.html) | 2026-05-07 00:00:00 | [] | ["公司治理/战略"] |  | ["公司从科学验证转入电站系统工程阶段，领导层变化值得跟踪。"] |  |
| recvk9U8egv2Ux | Tokamak Energy完成1.25亿美元融资 | [] | [{"id":"recvk9ZmAn34Zo"}] | Tokamak Energy获得1.25亿美元融资，用于推进高温超导磁体、ST40和聚变电站技术开发。 | [https://tokamakenergy.com/2024/11/20/tokamak-energy-raises-125m-to-commercialise-transformative-fusion-and-magnet-technologies/](https://tokamakenergy.com/2024/11/20/tokamak-energy-raises-125m-to-commercialise-transformative-fusion-and-magnet-technologies/) | 2024-11-20 00:00:00 |  | ["融资"] |  | ["英国高温超导托卡马克龙头继续融资，供应链和Demo4磁体进度需跟踪。"] |  |
| recvk9U8egdDlw | Tokamak Energy与美国DOE、英国DESNZ推进5200万美元ST40升级 | [] | [{"id":"recvk9ZmAn34Zo"}] | Tokamak Energy宣布与美国DOE和英国DESNZ合作推进5200万美元ST40升级，用于支持商业聚变技术验证。 | [https://tokamakenergy.com/2024/12/05/tokamak-energy-partners-with-u-s-doe-and-uks-desnz-to-accelerate-fusion-development-through-52m-st40-upgrade/](https://tokamakenergy.com/2024/12/05/tokamak-energy-partners-with-u-s-doe-and-uks-desnz-to-accelerate-fusion-development-through-52m-st40-upgrade/) | 2024-12-05 00:00:00 |  | ["政府项目/装置升级"] |  | ["ST40升级将提高球形托卡马克实验能力，并体现英美政府对商业聚变装置验证的支持。"] |  |
| recvk9U8egSopJ | Type One Energy与ORNL、TVA合作建设Infinity Two仿星器试点装置 | [] | [{"id":"recvk9ZmAnTgJt"}] | Type One Energy宣布在田纳西州推进Infinity Two项目，与ORNL和TVA合作验证仿星器聚变电站关键工程。 | [https://typeoneenergy.com/](https://typeoneenergy.com/) | 2025-02-11 00:00:00 |  | ["装置建设/合作"] |  | ["仿星器路线进入美国公用事业和国家实验室合作场景。"] |  |
| recvk9U8egneNU | Type One Energy完成Infinity Two初步设计评审 | [] | [{"id":"recvk9ZmAnTgJt"}] | Type One Energy宣布完成Infinity Two仿星器试点电站的初步设计评审，项目从概念设计进一步转向工程化推进。 | [https://typeoneenergy.com/type-one-energy-completes-formal-design-review/](https://typeoneenergy.com/type-one-energy-completes-formal-design-review/) | 2025-05-30 00:00:00 |  | ["装置设计/项目评审"] |  | ["仿星器路线进入工程评审阶段，可跟踪后续采购、许可和电站集成工作。"] |  |
| recvk9U8egicR6 | Proxima Fusion完成1.3亿欧元A轮融资 | [] | [{"id":"recvk9ZmAneH9R"}] | Proxima Fusion完成1.3亿欧元A轮融资，用于建设仿星器路线的首个示范电站相关技术。 | [https://www.proximafusion.com/press-news/proxima-fusion-raises-eu130m-series-a-to-build-worlds-first-stellarator-based-fusion-power-plant-in-the-2030s](https://www.proximafusion.com/press-news/proxima-fusion-raises-eu130m-series-a-to-build-worlds-first-stellarator-based-fusion-power-plant-in-the-2030s) | 2025-06-11 00:00:00 | [] | ["融资"] | [] | ["欧洲仿星器商业公司融资明显提速。"] |  |
| recvk9U8egeypW | Proxima Fusion把A轮融资扩展至2亿欧元规模 | [] | [{"id":"recvk9ZmAneH9R"}] | Proxima Fusion宣布A轮融资扩展至2亿欧元，用于加速仿星器设计、磁体和电站工程能力。 | [https://www.proximafusion.com/press-news](https://www.proximafusion.com/press-news) | 2025-09-09 00:00:00 |  | ["融资"] |  | ["欧洲私营聚变融资规模继续上移，仿星器路线竞争加剧。"] |  |
| recvk9U8eg82TO | Thea Energy完成2000万美元A轮融资 | [] | [{"id":"recvk9ZmAnV6t3"}] | Thea Energy完成A轮融资，发展采用平面线圈阵列的仿星器系统。 | [https://thea.energy/press/thea-energy-secures-20-million-in-series-a-financing/](https://thea.energy/press/thea-energy-secures-20-million-in-series-a-financing/) | 2024-02-08 00:00:00 | [] | ["融资"] |  | ["仿星器路线出现多种工程实现方案，需比较线圈复杂度和维护性。"] |  |
| recvk9U8egVvKq | Xcimer Energy完成1亿美元A轮融资 | [] | [{"id":"recvk9ZmAnvgWK"}] | Xcimer Energy完成A轮融资，发展高能量准分子激光驱动的惯性聚变路线。 | [https://xcimer.energy/xcimer-energy-raises-100-million-series-a-to-transform-inertial-fusion/](https://xcimer.energy/xcimer-energy-raises-100-million-series-a-to-transform-inertial-fusion/) | 2024-06-04 00:00:00 |  | ["融资"] |  | ["激光惯性聚变商业路线获得大额资金，需跟踪激光成本和重复频率。"] |  |
| recvk9U8eg0RuK | Realta Fusion完成3600万美元A轮融资推进磁镜聚变 | [] | [{"id":"recvk9ZmAnYco4"}] | Realta Fusion完成A轮融资，用于推进高场磁镜聚变和工业热应用路径。 | [https://www.realtafusion.com/news](https://www.realtafusion.com/news) | 2025-05-13 00:00:00 | [] | ["融资"] |  | ["磁镜路线把工业热市场作为早期商业切入点，区别于并网发电路线。"] |  |
| recvk9U8egL4IK | General Fusion完成2200万美元融资并继续推进LM26 | [] | [{"id":"recvk9ZmAnu1LQ"}] | General Fusion宣布完成超额认购的2200万美元融资并调整董事会，用于支持LM26磁化靶聚变示范。 | [https://generalfusion.com/post/a-new-day-general-fusion-closes-oversubscribed-us22-million-financing-welcomes-new-board-members/](https://generalfusion.com/post/a-new-day-general-fusion-closes-oversubscribed-us22-million-financing-welcomes-new-board-members/) | 2025-08-21 00:00:00 | [] | ["融资/公司治理"] |  | ["公司在资金压力背景下继续推进LM26，需关注后续实验节点和财务稳健性。"] |  |
| recvk9U8egzq3q | Kyoto Fusioneering完成C轮延期及债务融资，总额9300万美元 | [] | [{"id":"recvk9ZmAnAOj8"}] | Kyoto Fusioneering宣布C轮延期融资及债务融资合计9300万美元，用于推进聚变工程设备和UNITY测试平台。 | [https://kyotofusioneering.com/en/news/2025/09/09/3139](https://kyotofusioneering.com/en/news/2025/09/09/3139) | 2025-09-09 00:00:00 |  | ["融资/测试平台"] |  | ["聚变工程供应商开始获得大额债务融资，显示装备和工程服务链条成熟度提升。"] |  |
| recvk9U8egv6UJ | Marvel Fusion完成6280万欧元B轮融资 | [] | [{"id":"recvk9ZmAnSJ38"}] | Marvel Fusion完成B轮融资，用于推进激光聚变、靶材和示范平台建设。 | [https://www.pplaw.com/en/transactions/poellath-advises-marvel-fusion-eur-628-million-financing-round](https://www.pplaw.com/en/transactions/poellath-advises-marvel-fusion-eur-628-million-financing-round) | 2024-10-30 00:00:00 |  | ["融资"] |  | ["欧洲激光聚变公司继续获得资本支持，需关注与高校和激光设施合作。"] |  |
| recvk9U8eglbMM | Avalanche Energy新增2900万美元融资推进微型聚变路线 | [] | [{"id":"recvk9ZmAni8je"}] | Avalanche Energy据产业数据库报道新增2900万美元融资，继续推进紧凑型静电/磁约束聚变系统。 | [https://www.fusionenergybase.com/articles/avalanche-29-million-investment-round](https://www.fusionenergybase.com/articles/avalanche-29-million-investment-round) | 2026-02-01 00:00:00 |  | ["融资"] |  | ["微型化聚变路线仍处早期，公开数据有限，需等待官方材料补充。"] |  |
| recvk9U8egTpUf | 能量奇点HH70实现1337秒长时间高温等离子体运行 | [] | [{"id":"recvk9ZmAnIVHm"}] | 能量奇点HH70超导托卡马克公开披露实现1337秒高温等离子体运行，刷新公司装置长脉冲运行能力。 | [https://www.energysingularity.cn/en/news/](https://www.energysingularity.cn/en/news/) | 2026-02-02 00:00:00 |  | ["实验纪录"] |  | ["中国民营聚变公司在超导托卡马克长脉冲运行上快速推进，需继续核验官方技术细节。"] |  |
| recvk9U8ega6w0 | 能量奇点Jingtian高温超导磁体入选IAEA World Fusion Outlook 2025 | [] | [{"id":"recvk9ZmAnIVHm"}] | 能量奇点称其Jingtian高温超导磁体入选IAEA World Fusion Outlook 2025报告，作为民营聚变高温超导工程案例。 | [https://www.energysingularity.cn/en/news/](https://www.energysingularity.cn/en/news/) | 2025-10-29 00:00:00 |  | ["产业认可/技术"] |  | ["高温超导磁体能力是中国民营托卡马克路线的关键竞争力。"] |  |
| recvk9U8egeYcp | 中国聚变能源有限公司在上海成立并完成百亿元级增资 | [] | [{"id":"recvk9ZmAnIZQZ"}] | 中国聚变能源有限公司成立并完成增资，股东方包括中国核电、浙能电力、上海电气等，注册资本增至150亿元。 | [https://www.group.citic/html/2025/News_0724/2974.html](https://www.group.citic/html/2025/News_0724/2974.html) | 2025-07-22 00:00:00 |  | ["公司设立/产业政策"] |  | ["中国聚变国家队平台形成，影响国内项目承接、供应链和投融资格局。"] |  |
| recvk9U8egr7r2 | HHMAX-901线性装置实现首次等离子体 | [] | [{"id":"recvk9ZmAnWrE6"}] | 国内线性场反构型相关装置HHMAX-901公开报道实现首次等离子体，显示非托卡马克民营路线继续推进。 | [https://www.cpnn.com.cn/news/zngc/202507/t20250723_1818500.html](https://www.cpnn.com.cn/news/zngc/202507/t20250723_1818500.html) | 2025-07-23 00:00:00 |  | ["装置建设/实验"] |  | ["非托卡马克路线在中国也出现装置进展，需持续核验技术路线和团队信息。"] |  |
| recvk9U8egcDbm | Fusion Industry Association称2025年私营聚变投资新增26.4亿美元 |  | [] | FIA年度报告显示，2025年全球私营聚变行业新增投资约26.4亿美元，累计投资达到97.6亿美元。 | [https://www.fusionindustryassociation.org/wp-content/uploads/2025/07/2025-Global-Fusion-Industry-Report.pdf](https://www.fusionindustryassociation.org/wp-content/uploads/2025/07/2025-Global-Fusion-Industry-Report.pdf) | 2025-07-15 00:00:00 | [] | ["产业报告"] |  | ["为融资事件和行业热度提供年度基准，可用于跟踪资本周期。"] |  |
| recvk9U8egXhcp | FIA报告称聚变公司年度供应链支出达到4.34亿美元 |  | [] | FIA 2025报告披露聚变公司一年内供应链支出约4.34亿美元，显示商业聚变正在形成实际采购市场。 | [https://www.fusionindustryassociation.org/wp-content/uploads/2025/07/2025-Global-Fusion-Industry-Report.pdf](https://www.fusionindustryassociation.org/wp-content/uploads/2025/07/2025-Global-Fusion-Industry-Report.pdf) | 2025-07-15 00:00:00 |  | ["产业报告/供应链"] |  | ["可用于判断磁体、低温、真空、电源、材料和测控等供应链商机。"] |  |
| recvk9U8egSFWy | 美国DOE里程碑聚变项目进入公私合作执行阶段 | [] | [] | DOE选择8家公司进入里程碑式聚变开发项目，采用分阶段里程碑付款支持商业聚变概念设计和工程推进。 | [https://content.govdelivery.com/accounts/USDOEOS/bulletins/35d8483](https://content.govdelivery.com/accounts/USDOEOS/bulletins/35d8483) | 2023-05-31 00:00:00 |  | ["政府项目"] |  | ["美国政府以里程碑机制筛选商业聚变路线，后续公司进展可作为重要风向标。"] |  |
| recvk9U8egYTwv | 美国DOE发布聚变科学与技术路线图 |  | [] | DOE发布聚变科学与技术路线图，强调商业化所需的材料、燃料循环、等离子体控制、部件测试和产业生态。 | [https://www.energy.gov/articles/energy-department-announces-fusion-science-and-technology-roadmap-accelerate-commercial](https://www.energy.gov/articles/energy-department-announces-fusion-science-and-technology-roadmap-accelerate-commercial) | 2025-10-16 00:00:00 |  | ["政策/路线图"] |  | ["路线图可作为美国聚变技术缺口和政府资助方向的索引。"] |  |
| recvk9U8eghtod | 美国NRC发布聚变机器拟议规则，继续推进按副产物材料框架监管 |  | [] | NRC发布聚变机器拟议规则，围绕如何在现有副产物材料监管框架下许可聚变系统征求意见。 | [https://www.nrc.gov/reading-rm/doc-collections/news/2026/26-017.pdf](https://www.nrc.gov/reading-rm/doc-collections/news/2026/26-017.pdf) | 2026-03-31 00:00:00 |  | ["监管"] |  | ["美国监管框架清晰度直接影响商业聚变项目许可、融资和选址。"] |  |
| recvk9U8egtpVC | 英国发布2026聚变资金细分，确认超过25亿英镑投入方向 | [] | [] | 英国政府宣布在聚变能源领域投入超过25亿英镑，支持STEP、科研设施和产业化能力。 | [https://www.gov.uk/government/publications/uk-fusion-strategy-2026/funding-breakdown-for-fusion-energy](https://www.gov.uk/government/publications/uk-fusion-strategy-2026/funding-breakdown-for-fusion-energy) | 2026-03-16 00:00:00 |  | ["政策/资金"] |  | ["英国继续把聚变作为清洁能源和先进制造战略重点。"] |  |
| recvk9U8egMNSa | STEP项目确认West Burton为英国原型聚变电站选址 | [] | [] | 英国STEP原型聚变电站选址于West Burton，项目目标是在2040年代交付聚变电站能力。 | [https://www.gov.uk/government/news/west-burton-selected-as-home-of-step-fusion-plant](https://www.gov.uk/government/news/west-burton-selected-as-home-of-step-fusion-plant) | 2022-10-03 00:00:00 |  | ["商业电站/项目建设"] |  | ["国家级聚变电站选址有助于判断许可、社区、供应链和工程承包机会。"] |  |
| recvk9U8egVU0U | IAEA在成都发布World Fusion Outlook 2025并召开世界聚变能源集团部长级会议 |  | [] | IAEA在成都相关会议期间发布World Fusion Outlook 2025，聚合全球聚变政策、项目和产业发展信息。 | [https://www.iaea.org/newscenter/pressreleases/iaea-launches-world-fusion-outlook-2025-at-world-fusion-energy-group-ministerial-meeting-in-china](https://www.iaea.org/newscenter/pressreleases/iaea-launches-world-fusion-outlook-2025-at-world-fusion-energy-group-ministerial-meeting-in-china) | 2025-10-14 00:00:00 |  | ["国际组织/产业报告"] |  | ["国际组织层面对聚变产业信息进行年度化整理，可作为机构和装置核验来源。"] |  |
| recvk9U8egdtBz | SHINE获得DOE/NNSA 3200万美元Mo-99供应链资助 | [] | [] | SHINE获DOE/NNSA 3200万美元资助，用于支持美国钼-99供应链建设，体现聚变中子源在同位素生产上的商业落地。 | [https://www.shinefusion.com/blog/shine-technologies-awarded-32m-by-doe-nnsa-to-support-production-of-molybdenum-99](https://www.shinefusion.com/blog/shine-technologies-awarded-32m-by-doe-nnsa-to-support-production-of-molybdenum-99) | 2024-07-17 00:00:00 |  | ["政府资助/同位素"] |  | ["聚变相关中子源可先在医疗同位素领域形成收入路径。"] |  |
| recvk9U8egbhv5 | SHINE获得DOE最高2.63亿美元条件贷款承诺 | [] | [] | DOE披露SHINE获得最高2.63亿美元条件贷款承诺，用于推进美国本土Mo-99生产能力。 | [https://www.energy.gov/nnsa/articles/nnsa-transitions-american-made-molybdenum-99-effort-doe-office-energy-dominance](https://www.energy.gov/nnsa/articles/nnsa-transitions-american-made-molybdenum-99-effort-doe-office-energy-dominance) | 2026-04-09 00:00:00 |  | ["政府贷款/同位素"] |  | ["条件贷款并非已提款融资，但反映聚变中子源相关产业链获得政策金融支持。"] |  |
| recvk9U8egoXqq | CFS宣布SPARC主机厂房施工超过75%，真空室组装启动 | [] | [{"id":"recvk9ZmAn8uc6"}] | CFS披露SPARC主机厂房施工超过75%，并启动真空室组装等关键工程节点。 | [https://blog.cfs.energy/cfs-takes-its-next-step-toward-fusion-energy/](https://blog.cfs.energy/cfs-takes-its-next-step-toward-fusion-energy/) | 2026-05-14 00:00:00 |  | ["装置建设"] |  | ["SPARC工程进度是判断高温超导托卡马克商业化节奏的重要观察点。"] |  |
| recvk9U8egMQGM | CFS成为首家进入PJM互联队列的聚变能源公司 | [] | [{"id":"recvk9ZmAn8uc6"}] | CFS公开表示其ARC项目进入PJM电网互联队列，这是商业聚变项目从技术验证走向并网流程的重要信号。 | [https://blog.cfs.energy/cfs-is-the-first-fusion-energy-company-to-enter-the-pjm-grid-interconnection-queue/](https://blog.cfs.energy/cfs-is-the-first-fusion-energy-company-to-enter-the-pjm-grid-interconnection-queue/) | 2026-04-30 00:00:00 |  | ["电网接入/商业电站"] |  | ["并网申请暴露出项目选址、电力消纳和许可周期，是商业化真实性的重要指标。"] |  |
| recvk9U8egoZDE | CFS与Eni签署价值超过10亿美元的聚变电力采购协议 | [] | [{"id":"recvk9ZmAn8uc6"}] | CFS宣布与Eni签署价值超过10亿美元的电力采购协议，扩大ARC商业电站的潜在客户基础。 | [https://blog.cfs.energy/cfs-announces-over-1b-power-purchase-agreement-with-eni/](https://blog.cfs.energy/cfs-announces-over-1b-power-purchase-agreement-with-eni/) | 2025-09-18 00:00:00 |  | ["商业订单"] |  | ["传统能源公司成为聚变电力锚定买家，有助于聚变电站融资和商业合同结构形成。"] |  |
| recvkNVQ4LG9ne | CMC资本旗下华文清能基金领投东昇聚变 |  | [{"id":"recvkiWh3zvbNB"}] | 东昇聚变近日完成新一轮数亿元融资，由CMC资本旗下华文清能基金等联合领投。公司依托复旦大学成立，核心团队经验丰富，布局氘-氦3终极清洁聚变路线，第一代"晨光"实验装置稳步推进建设。 | [https://news.pedaily.cn/202605/564475.shtml](https://news.pedaily.cn/202605/564475.shtml) | 2026-05-27 11:34:00 | [{"id":"recvkiVxyc0ftd"}] | ["融资"] | [{"id":"recvkNQl7EXOd1"}] | ["较高"] |  |
| recvkPbFETgfTR | 中科聚变太赫兹完成2026年度第二轮融资，持续深耕可控核聚变诊断领域 |  | [{"id":"recvkPboXRfsN3"}] | 中科聚变太赫兹三个月内连续完成两轮股权融资：B+轮（鼎晖投资/前海方舟/航天科工，约1亿元）与B++轮（航天科工领投，东方嘉富/创合汇跟投，数亿元）。国内唯一聚变太赫兹诊断全套方案商业化主体，已为EAST/BEST等七类装置供货。 | [https://mp.weixin.qq.com/s/9djjLB3vRpxjFWS2h66czA](https://mp.weixin.qq.com/s/9djjLB3vRpxjFWS2h66czA) | 2026-05-27 00:00:00 |  | ["融资"] | [{"id":"recvkPbys3NF5y"},{"id":"recvkPbys3Tiv6"}] | ["较高"] |  |
| recvlCNEwvuLBX | 东曦聚变完成数亿元天使轮融资，中科创星领投 |  | [{"id":"recvlCMuWfikSH"}] | 东曦聚变能源科技（北京）有限公司宣布完成数亿元人民币天使轮融资，中科创星领投，华控基金、联想之星、苏创投、飞图创投参投。公司聚焦激光惯性约束聚变商业化，将围绕高能量激光驱动、靶丸工程、实验诊断、仿真计算、系统集成与AI应用推进研发。 | [https://m.cnfin.com/cy-lb/zixun/20260528/4418650_1.html](https://m.cnfin.com/cy-lb/zixun/20260528/4418650_1.html) | 2026-05-28 00:00:00 |  | ["融资"] | [{"id":"recvlCNwqZDyGz"}] | ["较高"] |  |
| recvlCNIdxiZs1 | Pacific Fusion完成超10亿美元融资，General Catalyst领投 |  | [{"id":"recvk9ZmAncxid"}] | 美国脉冲磁惯性聚变公司Pacific Fusion宣布完成超10亿美元融资，General Catalyst领投。此轮融资超越此前9亿美元承诺，成为聚变行业最大单轮融资之一。 | [https://news.qq.com/rain/a/20260603A07ILF00](https://news.qq.com/rain/a/20260603A07ILF00) | 2026-06-03 00:00:00 |  | ["融资"] | [{"id":"recvjYDkV9HtYb"}] | ["较高"] |  |
